,time_stamp,id,age,gender,word,keypress,reaction_time,phase
44,2024-02-17_23h25.58.220,0,,Female,clock,space,1.5409896150231361e-06,1
45,2024-02-17_23h25.58.220,0,,Female,bell,space,1.7920101527124643e-06,1
46,2024-02-17_23h25.58.220,0,,Female,river,space,2.040993422269821e-06,1
47,2024-02-17_23h25.58.220,0,,Female,physics,space,1.8749997252598405e-06,1
48,2024-02-17_23h25.58.220,0,,Female,beach,space,1.5830009942874312e-06,1
49,2024-02-17_23h25.58.220,0,,Female,candy,space,1.3749959180131555e-06,1
50,2024-02-17_23h25.58.220,0,,Female,classroom,space,1.958993379957974e-06,1
51,2024-02-17_23h25.58.220,0,,Female,graduation,space,1.8330028979107738e-06,1
52,2024-02-17_23h25.58.220,0,,Female,project,space,1.3749959180131555e-06,1
53,2024-02-17_23h25.58.220,0,,Female,principal,space,1.4999968698248267e-06,1
54,2024-02-17_23h25.58.220,0,,Female,color,space,1.7090060282498598e-06,1
55,2024-02-17_23h25.58.220,0,,Female,clock,space,1.500011421740055e-06,1
56,2024-02-17_23h25.58.220,0,,Female,library,space,2.0000006770715117e-06,1
57,2024-02-17_23h25.58.220,0,,Female,algebra,space,1.7499987734481692e-06,1
58,2024-02-17_23h25.58.220,0,,Female,glass,space,1.4160032151266932e-06,1
59,2024-02-17_23h25.58.220,0,,Female,star,space,1.834006980061531e-06,1
60,2024-02-17_23h25.58.220,0,,Female,park,space,1.500011421740055e-06,1
61,2024-02-17_23h25.58.220,0,,Female,smile,space,1.4590041246265173e-06,1
62,2024-02-17_23h25.58.220,0,,Female,cup,space,1.958003849722445e-06,1
63,2024-02-17_23h25.58.220,0,,Female,train,space,1.4999968698248267e-06,1
64,2024-02-17_23h25.58.220,0,,Female,cafeteria,space,1.8749997252598405e-06,1
65,2024-02-17_23h25.58.220,0,,Female,key,space,1.3329990906640887e-06,1
66,2024-02-17_23h25.58.220,0,,Female,dog,space,1.8330028979107738e-06,1
67,2024-02-17_23h25.58.220,0,,Female,pizza,space,1.3749959180131555e-06,1
68,2024-02-17_23h25.58.220,0,,Female,backpack,space,1.7499987734481692e-06,1
69,2024-02-17_23h25.58.220,0,,Female,pencil,space,1.5419936971738935e-06,1
70,2024-02-17_23h25.58.220,0,,Female,flower,space,1.4999968698248267e-06,1
71,2024-02-17_23h25.58.220,0,,Female,sleep,space,1.3749959180131555e-06,1
72,2024-02-17_23h25.58.220,0,,Female,rain,space,1.958003849722445e-06,1
73,2024-02-17_23h25.58.220,0,,Female,art,space,1.3329990906640887e-06,1
74,2024-02-17_23h25.58.220,0,,Female,diploma,space,1.7909915186464787e-06,1
75,2024-02-17_23h25.58.220,0,,Female,desk,space,1.500011421740055e-06,1
76,2024-02-17_23h25.58.220,0,,Female,geography,space,1.7079873941838741e-06,1
77,2024-02-17_23h25.58.220,0,,Female,apple,space,4.6670029405504465e-06,1
78,2024-02-17_23h25.58.220,0,,Female,quiz,space,1.5830009942874312e-06,1
79,2024-02-17_23h25.58.220,0,,Female,attendance,space,1.5830009942874312e-06,1
80,2024-02-17_23h25.58.220,0,,Female,mathematics,space,2.1669984562322497e-06,2
81,2024-02-17_23h25.58.220,0,,Female,laugh,space,1.9160070223733783e-06,2
82,2024-02-17_23h25.58.220,0,,Female,exam,y,2.3330067051574588e-06,2
83,2024-02-17_23h25.58.220,0,,Female,ocean,n,1.4999968698248267e-06,2
84,2024-02-17_23h25.58.220,0,,Female,teacher,y,2.0419975044205785e-06,2
85,2024-02-17_23h25.58.220,0,,Female,lunchbox,n,1.5840050764381886e-06,2
86,2024-02-17_23h25.58.220,0,,Female,bridge,y,1.6669946489855647e-06,2
87,2024-02-17_23h25.58.220,0,,Female,project,n,1.958993379957974e-06,2
88,2024-02-17_23h25.58.220,0,,Female,plant,y,1.958993379957974e-06,2
89,2024-02-17_23h25.58.220,0,,Female,park,y,2.125001628883183e-06,2
90,2024-02-17_23h25.58.220,0,,Female,homework,y,1.8749997252598405e-06,2
91,2024-02-17_23h25.58.220,0,,Female,glass,y,1.334003172814846e-06,2
92,2024-02-17_23h25.58.220,0,,Female,principal,y,2.5000044843181968e-06,2
93,2024-02-17_23h25.58.220,0,,Female,chair,y,2.291999408043921e-06,2
94,2024-02-17_23h25.58.220,0,,Female,song,y,2.207991201430559e-06,2
